20170041;;;;MF157509.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;3f588c8b7e31593cb55f610072fc2a9f;Vesicomya galatheae;;;2053991;;;;genomic DNA;public;;;;Vesicomya galatheae voucher NHMUK 20170041 cytochrome c oxidase subunit I (COI) gene, partial cds mitochondrial.;MF157509;;;;;;;;;;;false;2017-12-01;;;;688;NHMUK 20170041;;;INV;;13.76 N 116.49 W;;;;1
20170041;;;;MF157460.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;17aa1db1e281ced149abbc0283cac850;Vesicomya galatheae;;;2053991;;;;genomic DNA;public;;;;Vesicomya galatheae voucher NHMUK 20170041 16S ribosomal RNA gene, partial sequence mitochondrial.;MF157460;;;;;;;;;;;false;2017-12-01;;;;481;NHMUK 20170041;;;INV;;13.76 N 116.49 E;;;;1
20170041;;;;MF157487.1;STD;;;;29118626;;;;;;;;2019-05-17;false;;linear;;3624cc5740e62a137bcdce7641701440;Vesicomya galatheae;;;2053991;;;;genomic DNA;public;;;;Vesicomya galatheae voucher NHMUK 20170041 18S ribosomal RNA gene, partial sequence.;MF157487;;;;;;;;;;;false;2017-12-01;;;;1678;NHMUK 20170041;;;INV;;13.76 N 116.49 W;;;;1
20170043;;;;MF157479.1;STD;;;;29118626;;;;;;;;2019-05-17;false;;linear;;2d70093b4011ae8d4d284dcb2c6ae765;Bathyspinula calcar;;;1353797;;;;genomic DNA;public;;;;Bathyspinula calcar voucher NHMUK 20170043 18S ribosomal RNA gene, partial sequence.;MF157479;;;;;;;;;;;false;2017-12-01;;;;1666;NHMUK 20170043;;;INV;;13.93 N 116.55 W;;;;1
20170043;;;;MF157507.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;7b7c359135308d253c8fe044f3732160;Bathyspinula calcar;;;1353797;;;;genomic DNA;public;;;;Bathyspinula calcar voucher NHMUK 20170043 cytochrome c oxidase subunit I (COI) gene, partial cds mitochondrial.;MF157507;;;;;;;;;;;false;2017-12-01;;;;640;NHMUK 20170043;;;INV;;13.93 N 116.55 W;;;;1
20170042;;;;MF157488.1;STD;;;;29118626;;;;;;;;2019-05-17;false;;linear;;5dc2eb3a01e97c3d8d01365a89ed8315;Vesicomya galatheae;;;2053991;;;;genomic DNA;public;;;;Vesicomya galatheae voucher NHMUK 20170042 18S ribosomal RNA gene, partial sequence.;MF157488;;;;;;;;;;;false;2017-12-01;;;;1661;NHMUK 20170042;;;INV;;13.76 N 116.49 W;;;;1
20170042;;;;MF157510.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;815b852b626a327149ac099b895a28d9;Vesicomya galatheae;;;2053991;;;;genomic DNA;public;;;;Vesicomya galatheae voucher NHMUK 20170042 cytochrome c oxidase subunit I (COI) gene, partial cds mitochondrial.;MF157510;;;;;;;;;;;false;2017-12-01;;;;685;NHMUK 20170042;;;INV;;13.76 N 116.49 W;;;;1
20170044;;;;MF157475.1;STD;;;;29118626;;;;;;;;2019-05-17;false;;linear;;6a7909b4e80b342a020e09a95c5386ab;Bathyspinula calcar;;;1353797;;;;genomic DNA;public;;;;Bathyspinula calcar voucher NHMUK 20170044 18S ribosomal RNA gene, partial sequence.;MF157475;;;;;;;;;;;false;2017-12-01;;;;1674;NHMUK 20170044;;;INV;;13.76 N 116.7 W;;;;1
20170044;;;;MF157505.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;db2f71f2c52d8d5936045d596f527ca7;Bathyspinula calcar;;;1353797;;;;genomic DNA;public;;;;Bathyspinula calcar voucher NHMUK 20170044 cytochrome c oxidase subunit I (COI) gene, partial cds mitochondrial.;MF157505;;;;;;;;;;;false;2017-12-01;;;;669;NHMUK 20170044;;;INV;;13.76 N 116.7 W;;;;1
20170053;;;;MF157464.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;714168c8f578e9327eb07e21790a69d7;Nucula profundorum;;;1345009;;;;genomic DNA;public;;;;Nucula profundorum voucher NHMUK 20170053 16S ribosomal RNA gene, partial sequence mitochondrial.;MF157464;;;;;;;;;;;false;2017-12-01;;;;437;NHMUK 20170053;;;INV;;13.93 N 116.72 E;;;;1
20170053;;;;MF157520.1;STD;;;;29118626;;;;;;;;2019-05-17;false;mitochondrion;linear;;137901d9321dce4018c3088b6bbe5383;Nucula profundorum;;;1345009;;;;genomic DNA;public;;;;Nucula profundorum voucher NHMUK 20170053 cytochrome c oxidase subunit I (COI) gene, partial cds mitochondrial.;MF157520;;;;;;;;;;;false;2017-12-01;;;;622;NHMUK 20170053;;;INV;;13.93 N 116.72 W;;;;1
